label,text,len,len_no_spaces,n_words,n_special_chars,n_capital_letters,explicit
1,todays offer claim ur 150 worth of discount vouchers text yes to[entity] now savamob member offers mobile t cs[entity] 300 sub 16 unsub reply x,158,133,26,14,26,0
1,you will recieve your tone within the next 24hrs for terms and conditions please see channel u teletext pg 750,111,92,20,1,7,0
1,private your 2003 account statement for[entity] shows 800 unredeemed sim points call[entity] identifier code[entity] expires 181104,140,124,16,14,35,0
1,from [entity],13,12,2,2,6,0
1,gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call[entity] claim code k52 valid 12hrs only 150ppm,156,130,26,8,27,0
1,you have won 1000 cash or a 2000 prize to claim call[entity],66,55,12,8,8,0
1,our mobile number has won 5000 to claim calls us back or ring the claims hot line on[entity],96,79,18,4,6,0
1,we tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call[entity] now or reply for free delivery tomorrow,145,118,28,2,7,0
1,for ur chance to win a 250 wkly shopping spree txt shop to[entity] tscs [entity],87,73,15,9,22,0
1,you have been specially selected to receive a 2000 pound award call[entity] before the lines close cost 10ppm 16 tcs apply ag promo,138,116,23,9,20,0
1,private your 2003 account statement for[entity] shows 800 unredeemed s i m points call[entity] identifier code[entity] expires 241004,142,125,18,15,35,0
1,you have an important customer service announcement call freephone[entity] now,80,71,10,4,17,0
1,xclusiveclubsaisai 2morow 285 soiree speciale zouk with nichols from parisfree roses 2 all ladies info[entity][entity],128,112,16,12,91,0
1,22 days to kick off for euro2004 u will be kept up to date with the latest news and results daily to be removed send get txt stop to[entity],142,114,29,4,20,0
1,new textbuddy chat 2 [explicit] guys in ur area 4 just 25p free 2 receive search postcode or at gaytextbuddycom txt one name to[entity],137,114,24,6,25,1
1,todays vodafone numbers ending with 4882 are selected to a receive a 350 award if your number matches call[entity] to receive your 350 award,146,123,24,4,9,0
1,dear voucher holder 2 claim this weeks offer at your pc go to [entity],72,59,14,4,11,0
1,private your 2003 account statement for shows 800 unredeemed s i m points call[entity] identifier code[entity] expires 311004,134,117,18,13,29,0
1,you have won 1000 cash or a 2000 prize to claim call[entity] tc rstm sw7 3ss 150ppm,94,78,17,13,18,0
1,[entity] and[entity] are premium phone services call[entity],60,54,7,6,18,0
1,sms ac sun0819 posts helloyou seem cool,42,36,7,3,9,0
1,get ur 1st ringtone free now reply to this msg with tone gr8 top 20 tones to your phone every week just 150 per wk 2 opt out send stop[entity],147,118,30,5,35,0
1,hi im sue i am 20 years old and work as a lapdancer i love [explicit] text me live im i my bedroom now text sue to[entity] by textoperator g2 1da 150ppmsg 18,167,134,34,13,21,1
1,forwarded from[entity]please call[entity] immediately as there is an urgent message waiting for you,102,90,13,7,18,0
1,to review and keep the fantastic nokia ngage game deck with club nokia go 2 [entity],86,71,16,4,16,0
1,4mths half price orange line rental latest camera phones 4 free had your phone 11mths call mobilesdirect free on[entity] to update now or2stoptxt tcs,156,132,25,8,17,0
1,[entity] between 10am7pm cost 10p,34,30,5,3,7,0
1,[entity] urgent this is the 2nd attempt to contact uu have won 1250 call[entity] b[entity] tcsbcm4235wc1n3xx callcost 150ppm mobilesvary max7 50,154,134,21,12,44,0
1,you have won a guaranteed 1000 cash or a 2000 prize to claim yr prize call our customer service representative on[entity] between 10am7pm,143,121,23,4,11,0
1,email alertfrom jeri stewartsize 2kbsubject lowcost prescripiton drvgsto listen to email call 123,101,89,13,4,11,0
1,hi customer loyalty offerthe new nokia6650 mobile from only 10 at txtauction txt word start to no[entity] get yours now 4tctxt tc 150pmtmsg,151,128,24,11,44,0
1,u are subscribed to the best mobile content service in the uk for 3 per 10 days until you send stop to[entity] helpline[entity],130,108,23,5,23,0
1,do you realize that in about 40 years well have thousands of old ladies running around with tattoos,102,85,18,3,1,0
1,you have an important customer service announcement from premier,65,57,9,1,8,0
1,romantic paris 2 nights 2 flights from 79 book now 4 next year call[entity]tscs apply,92,78,15,7,12,0
1,urgent ur 500 guaranteed award is still unclaimed call[entity] now closingdate040902 claimcode m39m51 150pmmorefrommobile2bremovedmobypobox734ls27yf,157,144,14,7,23,0
1,ur awarded a city break and could win a 200 summer shopping spree every wk txt store to[entity] skilgme tscs[entity]winawkage16 150perwksub,149,128,22,9,37,0
1,you have an important customer service announcement from premier call freephone[entity] now,93,82,12,4,24,0
1,ever thought about living a good life with a perfect partner just txt back name and age to join the mobile community 100psms,129,107,23,5,12,0
1,5 free top polyphonic tones call[entity] national rate get a toppoly tune sent every week just text subpoly to[entity] 3 per pole unsub[entity],151,129,23,12,34,0
1,orange customer you may now claim your free camera phone upgrade for your loyalty call now on[entity] offer ends 14thmarch tcs apply optout availa,154,131,24,10,28,0
1,last chance claim ur 150 worth of discount vouchers today text shop to[entity] now savamob offers mobile t cs savamob pobox84 m263uz 300 sub 16,156,132,25,11,29,0
1,free for 1st week no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates [entity],118,95,24,4,18,0
1,you have won a guaranteed 200 award or even 1000 cashto claim ur award call free on[entity] 2 stop getstop on[entity] php rg21 4jx,137,114,24,7,22,0
1,congratulations ur awarded either 500 of cd gift vouchers free entry 2 our 100 weekly draw txt music to[entity] tncs [entity],131,110,22,5,23,0
1,u were outbid by simonwatson5120 on the shinco dvd plyr 2 bid again visit sms acsmsrewards 2 end bid notifications reply end out,133,111,23,5,12,0
1,smsservices for yourinclusive text credits pls goto [entity],62,55,8,4,17,0
1,25p 4 alfie moons children in need song on ur mob tell ur m8s txt tone charity to 8007 for nokias or poly charity for polys zed[entity] profit 2 charity,157,128,30,7,13,0
1,u have a secret admirer reveal who thinks u r so special call[entity] to opt out reply reveal stop 150 per msg recd cust care[entity],139,115,25,10,36,0
1,dear voucher holder to claim this weeks offer at you pc please go to [entity],79,65,15,4,12,0
1,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call[entity] or reply for delivery tomorrow,145,119,27,2,15,0
1,we tried to contact you re our offer of new video phone 750 anytime any network mins half price rental camcorder call[entity] or reply for delivery wed,151,125,27,2,21,0
1,last chance 2 claim ur 150 worth of discount voucherstext yes to[entity] nowsavamobmember offers mobile t cs[entity] 300 sub 16 remove txt x or stop,160,135,26,11,28,0
1,urgent call[entity] from your landline your complimentary 4 ibiza holiday or 10000 cash await collection sae tcs po box 434 sk3 8wp 150 ppm 18,149,124,25,8,24,0
1,talk [explicit] make new friends or fall in love in the worlds most discreet text dating service just text vip to[entity] and see who you could meet,152,126,27,8,12,1
1,congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call[entity] tscs [entity],130,111,20,5,32,0
1,private your 2003 account statement for[entity] xxxxxx shows 800 unredeemed s i m points call[entity] identifier code[entity] expires 071104,149,131,19,15,41,0
1,hello we need some posh birds and chaps to user trial prods for champneys can i put you down i need your address and dob asap ta r,134,107,28,4,5,0
1,what do u want for xmas how about 100 free text messages a new video phone with half price line rental call free now on[entity] to find out more,149,120,30,6,11,0
1,shop till u drop is it you either 10k 5k 500 cash or 100 travel voucher call now[entity] ntt po box cr[entity]bt fixedline cost 150ppm mobile vary,157,131,27,11,37,0
1,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to[entity] 150 sptyrone,139,115,25,7,20,0
1,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on[entity],128,106,23,5,11,0
1,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on[entity]stopsms08,139,117,23,7,13,0
1,reminder you have not downloaded the content you have already paid for goto [entity],86,73,14,4,9,0
1,all the lastest from stereophonics marley dizzee racal libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to[entity],164,140,25,8,26,0
1,january male sale hot gay chat now cheaper call[entity] national rate from 15pmin cheap to 78pmin peak to stop texts call[entity]pmin,143,123,21,14,19,0
1,money you r a lucky winner 2 claim your prize text money[entity] over 1million to give away ppt150x3normal text rate box403 w1t1jy,140,117,24,8,6,0
1,dear matthew please call[entity] from a landline your complimentary 4lux tenerife holiday or 1000 cash await collection ppm150 sae tcs box334 sk38xh,155,134,22,7,24,0
1,urgent call[entity] from landline your complimentary 4 tenerife holiday or 10000 cash await collection sae tcs box 528 hp20 1yf 150ppm 18,145,124,22,8,23,0
1,how about getting in touch with folks waiting for company just txt back your name and age to opt in enjoy the community 150psms,132,109,24,5,13,0
1,ur cashbalance is currently 500 pounds to maximize ur cashin now send go to[entity] only 150pmsg cc[entity] po box 11414 tcrw1,135,114,22,12,26,0
1,filthy stories and girls waiting for your,41,35,7,0,6,0
1,urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call[entity] from land line claim m95 valid12hrs only,153,128,26,7,29,0
1,congrats 2 mobile 3g videophones r yours call[entity] now videochat wid your mates play java games dload polyph music noline rentl,137,117,21,9,13,0
1,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt on orange contract call mobileupd8 on[entity] or call 2optout,146,126,21,8,31,0
1,free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates [entity],114,91,24,3,18,0
1,guess what somebody you know secretly fancies you wanna find out who it is give us a call on[entity] from landline datebox1282essexcm61xn 150pmin 18,152,129,24,6,22,0
1,we know someone who you know that fancies you call[entity] to find out who pobox 6 ls15hb 150p,97,80,18,5,15,0
1,1000s flirting now txt girl or bloke ur name age eg girl zoe 18 to 8007 to join and get chatting,104,82,23,6,27,0
1,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to[entity],137,114,24,5,20,0
1,eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to[entity] now 4 chance 2 win 100 cash wkent150p16,155,126,30,9,63,0
1,we have new local dates in your area lots of new people registered in your area reply date to start now 18 only [entity],124,100,25,5,21,0
1,someone u know has asked our dating service 2 contact you cant guess who call[entity] now all will be revealed po box385 m6 6wu,130,107,24,5,25,0
1,urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call[entity] from land line claim c52 valid12hrs only,153,128,26,7,29,0
1,dear uve been invited to xchat this is our final attempt to contact u txt chat to[entity],92,76,17,5,19,0
1,you are awarded a sipix digital camera call[entity] from landline delivery within 28days t cs box177 m221bp 2yr warranty 150ppm 16 p p399,149,126,24,11,18,0
1,win urgent your mobile number has been awarded with a 2000 prize guaranteed call[entity] from land line claim 3030 valid 12hrs only 150ppm,143,120,23,4,26,0
1,dear subscriber ur draw 4 100 gift voucher will b entered on receipt of a correct ans when was elvis presleys birthday txt answer to[entity],144,120,25,4,15,0
1,message important information for o2 user today is your lucky day 2 find out why log onto [entity],100,83,18,4,10,0
1,[entity] you have won a 2000 price to claim call[entity],62,53,10,8,14,0
1,bored of speed dating try speedchat txt speedchat to[entity] if you dont like em txt swap and get a new chatter chat[entity] pobox[entity]w45wq 150pmsg rcd 16,164,139,26,12,49,0
1,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call[entity] now or reply for delivery tomorrow,149,122,28,2,11,0
1,for taking part in our mobile survey yesterday you can now have 500 texts 2 use however you wish 2 get txts just send txt to[entity] tc [entity],147,120,28,7,19,0
1,ur hmv quiz cashbalance is currently 500 to maximize ur cashin now send hmv1 to[entity] only 150pmsg,107,90,18,6,14,0
1,dont forget you can place as many free requests with 1stchoicecouk as you wish for more information call[entity],116,99,18,6,14,0
1,i dont know u and u dont know me send chat to[entity] now and lets find each other only 150pmsg rcvd hgsuite3422landsroww1j6hl ldn 18 years or over,160,134,27,15,26,0
1,thank you winner notified by sms good luck no future marketing reply stop to[entity] customer services[entity],113,98,16,7,20,0
1,1000s of girls many local 2 u who r virgins 2 this r ready 2 4fil ur every sexual need can u 4fil theirs text cute to[entity]150p m,142,114,29,10,11,0
1,got what it takes 2 take part in the wrc rally in oz u can with lucozade energy text rally le to[entity]p see packs or lucozadecoukwrc itcould be u,157,128,30,11,23,0
1,[explicit] up ur mobile with a free [explicit] pic of jordan just text babe to[entity] then every wk get a [explicit] celeb pocketbabecouk 4 more pics 16 3wk[entity],174,147,28,17,25,3
1,you have 1 new voicemail please call[entity],45,39,7,3,8,0
1,win a year supply of cds 4 a store of ur choice worth 500 enter our 100 weekly draw txt music to[entity] tscs [entity],125,101,25,6,25,0
1,as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no[entity] to claim 150pmsg exp 30apr,150,123,28,10,20,0
1,you have 1 new voicemail please call[entity],46,40,7,4,8,0
1,no 1 nokia tone 4 ur mob every week just txt nok to[entity]st tone free so get txtin now and tell ur friends 150ptone 16 reply hl 4info,142,114,29,8,20,0
1,reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations [entity],136,115,22,2,27,0
1,free entry into our 250 weekly comp just send the word enter to[entity] now 18 tc [entity],94,78,17,6,26,0
1,please call[entity] immediately as there is an urgent message waiting for you,77,66,12,2,11,0
1,hungry gay guys feeling hungry and up 4 it now call[entity] just 10pmin to stop texts call[entity]pmin,108,92,17,10,15,0
1,can u get 2 phone now i wanna chat 2 set up meet call me now on[entity] u can [explicit] here 2moro luv jane [explicit] calls1minmoremobsemspobox45po139wa,158,133,26,8,33,2
1,network operator the service is free for t cs visit[entity]biz,68,58,11,7,10,0
1,enjoy the jamster videosound gold club with your credits for 2 new videosounds2 logosmusicnews get more fun from jamstercouk 16only help call[entity],159,137,22,11,8,0
1,get 3 lions england tone reply lionm 4 mono or lionp 4 poly 4 more go 2 [entity],82,65,18,4,9,0
1,win the newest harry potter and the order of the phoenix book 5 reply harry answer 5 questions chance to be the first among readers,140,115,26,5,13,0
1,ur balance is now 500 ur next question is who sang uptown girl in the 80s 2 answer txt ur answer to[entity] good luck,128,104,25,10,18,0
1,free2day [explicit] st georges day pic of jordantxt pic to[entity] dont miss out then every wk a saucy celeb4 more pics c pocketbabecouk[entity] 3wk,157,134,24,13,29,1
1,hot live fantasies call now[entity] just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870k,97,80,18,5,35,0
1,bears pic nick and tom pete and [explicit] in fact all types try gay chat with photo upload call[entity]pmin 2 stop texts call[entity],145,122,24,16,18,1
1,500 new mobiles from 2004 must go txt nokia to no[entity] collect yours todayfrom only 1 [entity],106,89,18,10,32,0
1,double mins double txt 12 price linerental on latest orange bluetooth mobiles call mobileupd8 for the very latest offers[entity] or call2optoutlf56,155,133,23,8,19,0
1,urgent important information for o2 user today is your lucky day 2 find out why log onto [entity],100,83,18,5,76,0
1,dear uve been invited to xchat this is our final attempt to contact u txt chat to[entity]pmsgrcvdhgsuite3422landsroww1j6hl ldn 18 yrs,141,122,20,10,32,0
1,congratulations ur awarded either 500 of cd gift vouchers free entry 2 our 100 weekly draw txt music to[entity] tncs [entity],131,110,22,5,23,0
1,for sale arsenal dartboard good condition but no doubles or trebles,71,60,12,3,2,0
1,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt pod to[entity] tscs [entity],114,92,23,6,29,0
1,as a registered optin subscriber ur draw 4 100 gift voucher will be entered on receipt of a correct ans to[entity] whats no1 in the bbc charts,144,118,27,2,12,0
1,summers finally here fancy a chat or flirt with [explicit] singles in yr area to get matched up just reply summer now free 2 join optout txt stop help[entity],162,134,29,8,31,1
1,claire here am havin borin time am now alone u wanna [explicit] over 2nite chat now[entity] hope 2 c u luv claire [explicit] calls1minmoremobsemspobox45po139wa,165,141,25,9,34,2
1,bought one ringtone and now getting texts costing 3 pound offering more tones etc,81,68,14,0,1,0
1,[entity] urgent your mobile no 07xxxxxxxxx won a 2000 bonus caller prize on 020603 this is the 2nd attempt to reach you call[entity] asap,146,123,24,11,27,0
1,you[entity] are guaranteed the latests nokia phone a 40gb ipod mp3 player or a 500 prize txt wordcollect to no[entity] tcllc nyusa 150pmt msgrcvd18,158,135,24,13,42,0
1,hi its lucy hubby at meetins all day fri i will b alone at hotel u fancy cumin over pls leave msg 2day[entity] lucy x calls1minmobsmorelkpobox177hp51fl,157,131,27,5,31,0
1,your account has been credited with 500 free text messages to activate just txt the word credit to no[entity] tcs [entity],127,107,21,9,29,0
1,sms ac jsco energy is high but u may not know where 2channel it 2day ur leadership skills r strong psychic reply ans wquestion end reply end jsco,154,127,28,9,20,0
1,hot live fantasies call now[entity] just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call,118,96,23,3,35,0
1,thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now,121,98,24,3,13,0
1,our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists,157,130,28,3,3,0
1,urgent your mobile no was awarded a 2000 bonus caller prize on 10803 this is our 2nd attempt to contact you call[entity] box95qu bt national rate,153,128,26,8,32,0
1,you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to[entity] now hgsuite3422lands roww1jhl 16,152,126,27,9,24,0
1,hello from orange for 1 months free access to games news and sport plus 10 free texts and 20 photo messages reply yes terms apply [entity],145,120,26,9,13,0
1,ur cashbalance is currently 500 pounds to maximize ur cashin now send go to[entity] only 150pmsg cc[entity] hgsuite3422lands roww1j6hl,143,124,20,12,26,0
1,sms auction a brand new nokia 7250 is up 4 auction today auction is free 2 join take part txt nokia to[entity] now hgsuite3422lands roww1j6hl,151,125,27,10,46,0
1,private your 2003 account statement for shows 800 unredeemed s i m points call[entity] identifier code[entity] expires 071104,134,117,18,13,29,0
1,as a registered subscriber yr draw 4 a 100 gift voucher will b entered on receipt of a correct ans when are the next olympics txt ans to[entity],148,121,28,4,11,0
1,urgent your mobile number has been awarded with a 2000 prize guaranteed call[entity] from land line claim 3030 valid 12hrs only 150ppm,140,119,22,6,27,0
1,rtking pro video club need help [entity] or call[entity] you must be 16 club credits redeemable at [entity],112,95,18,11,28,0
1,u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on[entity],128,106,23,5,11,0
1,500 free text msgs just text ok to[entity] and well credit your account,73,61,13,4,7,0
1,you have been selected to stay in 1 of 250 top british hotels for nothing holiday worth 350 to claim call london[entity] bx 526 sw73ss,143,118,26,8,29,0
