,Unnamed: 0,label,text,is_eng,len,len_no_spaces,n_words,n_special_chars,n_capital_letters,emails,urls,phones,explicit,entities,w_free,w_click,w_claim,w_offer,w_win,w_prize,w_want,tfidf_features
16,70,1,"['goodby', 'gargl', 'copolym', 'hormoneextrem', 'monic', 'puerilecafeteria', 'nag', 'longfreethink', 'aris', 'beachcombconserv', 'dignitari', 'alliancegemlik', 'clare', 'boggingcrowberri', 'hecat', 'authenticatemorpholog', 'courtney', 'saxophonesummand']",True,213,196,18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
17,82,1,"['load', 'pleas', 'wait', 'want', 'longer', '[explicit]', 'enlarg', '[explicit]', 'instant', 'rock', 'hard', 'erect', 'longer', 'last', 'time', 'click', 'inform', 'remov']",True,179,145,34,13,0,0,0,0,0.0,0,0,1,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
18,83,1,"['vortnight', 'temperd', 'sisyphist', 'b', 'est', 'med', 'avail', 'got', 'vi', 'co', 'din', 'x', 'nax', 'v', 'aliu', 'popular', 'product', 'accept', 'almost', 'everi', 'form', 'payment', 'u', 'q', '[entity]']",True,197,151,47,16,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
19,84,1,"['brother', 'good', 'anti', 'weight', 'solut', 'v', '1', 'g', 'r', 'loo', 'g', '20', 'pi', '98', '0', 'c', '1', 'l', '1', '2', 'g', '10', 'p', 'ls', '82', '00', 'v', 'x', 'x', '25', 'g', '3', 'plli', '62', 'oo', 'info', '[entity]']",True,218,138,81,29,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0.25581931 0.         0.         ... 0.         0.         0.        ]
20,87,1,"['one', 'buddi', 'hook', 'date', 'anoth', 'buddi', 'invit', 'free', 'date', 'web', 'site', 'creat', 'women', 'invit']",True,144,115,29,3,0,0,0,0,0.0,0,1,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
21,90,1,"['fix', '[explicit]', 'enlarg', 'limit', 'time', 'offer', 'add', 'atleast', '4', 'inch', 'get', 'money', 'back', 'visit', 'us', 'learn', 'offer']",True,153,120,33,9,0,0,0,0,0.0,0,0,0,0,2,0,0,0,[0. 0. 0. ... 0. 0. 0.]
22,94,1,"['e', 'x', 'local', 'singl', 'insid', 'petticoat', 'isoclin', 'conduc', 'strove', 'prosecut', 'litig', 'decim', 'holstein', 'may', 'platen', 'fisk', 'die', 'defrock', 'ash', 'n', 'h', 'n', 'k', 'z', 'z', 'z']",True,210,156,54,17,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
23,95,1,"['chaney', '75', 'new', 'softwar', 'windowxp', 'photoshop', 'window', '2003', 'etcmor', 'zazen', 'histor']",True,119,92,27,11,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
24,98,1,"['physiotherapi', 'agn', 'amend', 'armpit', 'increas', 'e', 'x', 'f', 'u', 'n', 'v', 'evolutionari', 'fresh', 'triac', 'gang', 'cognat', 'electrocardiograph']",True,146,114,32,13,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
25,106,1,"['heard', 'home', 'l', 'depart', 'gone', 'mad', 'reduc', 'r', 'tga', 'ge', '4', '95', 'fix', 'ez', 'cred', 'ba', 'n', 'kruptci', 'c', 'r', 'e', 'dit', 'problem', 'specialti', 'let', 'us', 'help', '[entity]']",True,217,162,56,11,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
26,111,1,"['htmlbodyt', 'cellpad', '10', 'align', 'centertrtda', 'href', '[entity]']",True,66,57,10,5,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
27,113,1,"['place', 'charg', '18', 'charg', '3', 'never', 'get', 'cheaper', '[explicit]', 'order', 'today', 'offer', 'expir', 'deliv', 'world', 'wide', 'check', 'link', 'see', 'cheap', '[entity]']",True,206,165,42,11,6,0,0,0,0.0,1,0,0,0,1,0,0,0,[0. 0. 0. ... 0. 0. 0.]
28,120,1,"['casualti', 'gantletmustach', 'alphons', 'archaicterrifi', 'dappl', 'dentoncolog', 'expend', 'lausannewhit', 'tenabl', 'innermostkinglet', 'erupt', 'espritawaken', 'attent', 'idioticosmium', 'warwick', 'electrophoruschilean', 'anchorit', 'butternutcultiv']",True,215,198,18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
29,123,1,"['hello', 'ltqudybtesk', 'wmtxyzlrnbbdc', 'jkthfqbcmhf', 'would', 'refin', 'knew', 'could', 'save', 'thousand', 'kbrlwjbxdqz', 'cllfypbitemi', 'kqqcqcqcgsaad', 'rurgpybymezx', 'refin', 'today', 'low', '2', '9', 'buy', 'home', 'dream', '[entity]']",True,237,198,40,8,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
30,131,1,"['embattl', 'slaughterhous', 'thereon', 'baden', 'mommi', 'confer', 'quota', 'conven', 'coddl', 'cultur', 'hearst', 'democraci', 'structur', 'cataract', 'beat', 'guid', 'asylum', 'corvett', 'cortex', 'calcit', 'fractur', 'leaven', 'connecticut', 'mcmahon', 'childbear', 'melinda', 'deprec', 'festiv']",True,234,207,28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
31,132,1,"['password', 'amaz', 'adult', 'site', 'usernam', 'burt', '69', 'ok', 'password', 'zzso', '02', 'ji', 'url', '[entity]']",True,111,88,24,6,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0.         0.         0.         ... 0.         0.         0.31316635]
32,134,1,"['hotbot', 'wallpap', 'x', 'men', 'come', 'seepop', 'music', 'u', '2']",True,55,44,12,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
33,139,1,"['huge', 'offer', 'viicodin', 'viagraa', 'vallium', 'lot', 'moree', 'save', '7', 'med', 'store', 'visit', 'uss', 'today', '[entity]']",True,129,101,29,9,6,0,0,0,0.0,1,0,0,0,1,0,0,0,[0. 0. 0. ... 0. 0. 0.]
34,144,1,"['mosley', 'goven', 'want', 'sell', 'undergroundcd', 'check', 'spous', 'staff', 'investig', 'credit', 'histori', 'hack', 'someon', 'pc', 'disappear', 'citi', 'bannedcd', '2004', '[entity]']",True,191,158,34,7,6,0,0,0,0.0,1,0,0,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
35,147,1,"['mayb', 'time', '[entity]']",True,34,27,8,5,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
36,153,1,"['n', '[entity]']",True,24,16,9,6,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
37,154,1,"['live', 'sheriff', 'obsequi', 'blood', 'clot', 'beyond', 'deficit', 'reach', 'understand', 'toward', 'blood', 'clot', '[', '3']",True,119,98,21,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
38,158,1,"['tire', 'pay', 'high', 'tobacco', 'tax', 'guarante', 'thousand', 'save', 'year', 'premium', 'brand', 'qualiti', 'price', 'marlboro', 'camel', 'parliament', '16', '95', 'carton', 'save', 'today']",True,183,146,37,10,0,0,0,0,0.0,0,0,0,0,0,0,1,0,[0. 0. 0. ... 0. 0. 0.]
39,159,1,"['want', 'drop', 'list', 'repli', 'email', 'copi', 'past', 'link', 'browser', 'bisop', 'com', 'rmm', 'htm', 'comput', 'technolog', '848', 'n', 'rainbow', 'blvd', '316', 'la', 'vega', 'nv[entity]']",True,208,163,45,12,6,0,0,0,0.0,1,0,0,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
40,163,1,"['biggest', 'store', 'line', 'pharmaci', '150', 'major', 'med', 'highest', 'qualiti', 'assur', 'onlin', 'gener', 'med', 'competit', 'price', 'vi', 'sit', 'us', 'today', '[entity]']",True,184,149,36,8,6,0,0,0,0.0,1,0,0,0,0,0,1,0,[0. 0. 0. ... 0. 0. 0.]
41,165,1,"['stop', 'paln', 'vi', 'codin', 'pain', 'relief', 'fda', 'report', '[entity]']",True,61,49,13,5,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
42,169,1,"['hi', 'reciev', 'email', 'last', 'week', 'happi', 'tell', 'approv', 'home', 'loan', '4', '77', 'rate', 'track', 'number', 'd[entity]', 'must', 'visit', 'link', '24', 'hr', 'confirm', 'detail', '[entity]']",True,242,188,55,12,12,0,0,0,0.0,2,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
43,171,1,"['week', 'f', 'ree', 'gen', 'erlc', 'vlag', 'ra', 'cover', 'ship', 'send', 'youour', 'product', 'cost', 'prove', 'effect', 'last', 'hurri', 'stop', 'promo']",True,178,135,43,12,0,0,0,0,0.0,0,1,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
44,177,1,"['pleasur', 'squir', 'kuwo']",True,39,30,9,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
45,178,1,"['30', 'million', 'peopl', 'reli', 'wonder', 'drug', 'get', 'prozac', 'relax', 'enjoy', 'life', 'wish', 'receiv', 'email', 'pleas', 'click', 'honor', 'unsubscrib', 'request', 'immediatli']",True,209,166,43,9,0,0,0,0,0.0,0,0,1,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
46,181,1,"['welcom', 'health', 'suit', 'chek', 'iagra', 'vic', 'ali', 'val', 'x', 'v', 'odin', 'ci', 'ium', 'xana', 'store', 'give', 'great', 'deal', 'save', 'health', 'money']",True,167,130,38,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
47,182,1,"['deliv', 'speedi', 'parcel', 'post', 'costless', 'profession', 'prescriiptt', 'attach', 'low', 'price', 'med', 'asthma', 'allergi', 'paain', 'relief', 'xieti', 'relief', 'depres', 'relief', 'hypertens', 'alzheim', 'heart', 'diseas', 'other', '[entity]']",True,248,207,42,11,6,0,0,0,0.0,1,0,0,0,0,0,1,0,[0. 0. 0. ... 0. 0. 0.]
48,186,1,"['[explicit]', '[explicit]', 'cuti', 'wait', 'join', 'action', 'insid', 'remov', 'email']",True,103,85,19,6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
49,189,1,"['os', 'effetiveeight', 'os', 'aaiab', 'withoutrescript', 'learn', 'unlist']",True,76,65,11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
50,199,1,"['sun', '19', 'dec[entity]', '17', '[entity]', 'wholesal', 'rx', '[entity]']",True,59,49,11,10,18,0,0,0,0.0,3,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
51,200,1,"['click', 'transfer', 'free', 'money', 'account', 'f', 'r', 'e', 'e', 'n', 'e', 'bonu', 'real', 'free', 'download', 'casino', 'softwar', 'make', 'first', 'purchas', 'casino', 'certain', 'condit', 'appli']",True,220,174,46,4,0,0,0,0,0.0,0,2,1,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
52,202,1,"['gape', '[explicit]lik', 'seen', '[explicit]', 'film', 'chanc', 'becom', 'stronger', 'show', 'volum', 'worri', 'work', 'afraid', 'delet', '[entity]']",True,197,155,43,15,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
53,204,1,"['click', 'order', 'today']",True,26,21,5,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
54,205,1,"['hi', 'grade', 'offshor', 'prescript', 'express', 'ship', 'directli', 'resid', 'ciaii', 'vlagra', 'valium', 'mani', 'avail', 'save', '70', 'worldwid', 'deliveri', 'discreet', 'packag', 'prior', 'script', 'requir', 'purchas']",True,240,196,44,10,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
55,210,1,"['wed', '05', 'jan[entity]', '03', '41', '0200', 'sent', 'confirm', '3', 'day', 'ago', 'get', 'answer', 'compani', 'p', 'prove', '3', '8', 'inform', 'miss', 'pleas', 'correct', '[entity]']",True,214,167,48,12,12,0,0,0,0.0,2,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
56,213,1,"['smartoopt', 'line', 'med', '[entity]']",True,42,35,8,4,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
57,219,1,['[entity]'],True,8,8,1,2,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
58,223,1,"['peopl', 'nowth', 'weather', 'climat', 'particular', 'environ', 'chang', 'affect', 'peopl', 'eat', 'much', 'abl', 'eat']",True,142,116,27,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
59,224,1,"['stop', 'paln', 'vi', 'codin', 'pain', 'relief', 'fda', 'report', '[entity]']",True,61,49,13,5,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
60,234,1,"['fact', 'go', 'tonight', 'approach', 'beauti', 'woman', 'confid', 'without', 'fear', 'know', 'exactli', 'say', 'break', 'ice', 'exactli', 'get', 'bed', 'rmove']",True,207,161,46,9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
61,235,1,"['authent', 'reproduct', 'watch', 'offer', 'trademark', 'avail', 'bvlgari', 'chopard', 'glashut', 'origin', 'officin', 'panerai', 'ikepod']",True,131,114,17,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,[0. 0. 0. ... 0. 0. 0.]
62,238,1,"['download', 'movi', 'still', 'theater', 'matur', 'movi', 'softwar', 'dvd', 'music', 'x', 'box', 'must', 'see', '[entity]']",True,110,86,25,11,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
63,246,1,"['greet', 'white', 'man', 'hatr', 'gain', 'much', 'good', 'work', 'evil', 'christma', 'heart', 'never', 'find', 'tree', 'paliourg', 'med', 'without', 'perscript', '[entity]']",True,207,165,43,9,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
64,249,1,"['htmlhead', 'headbodycenterfont', 'size', '0', 'face', 'arial', 'href', '[entity]']",True,71,58,14,7,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
65,251,1,"['hey', 'guy', 'yome', 'biot', 'inst', 'sat', 'cr', 'counterbal', 'gtbmbbsoitsvn', 'pykn', 'ifvreakjga', 'sdw', 'ysenbzkjtw', 'ex', 'bghcbgksga', 'gp', 'taokdl', 'cmpnlbcg']",True,133,113,21,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
66,258,1,"['comput', 'hold', 'look', 'partner', 'worldwid', 'want', 'busi', 'us', 'readi', 'offer', 'best', 'condit', 'busi', 'get', 'new', '25', 'notebook', 'pay', 'receiv', 'come', '[entity]']",True,214,175,40,5,6,0,0,0,0.0,1,0,0,0,1,0,0,1,[0. 0. 0. ... 0. 0. 0.]
67,259,1,"['need', 'vicodin', 'sourc', 'vicodin', 'onlin', 'easi', 'order', 'prior', 'prescript', 'need', 'quick', 'deliveri', 'inexpens']",True,155,125,30,7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
68,260,1,"['realli', 'lay', 'pipe', 'next', 'girl', 'screw', '[entity]']",True,61,48,14,5,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
69,264,1,"['good', 'day', 'applic', 'pre', 'approv', 'thurdsay', 'august', '12', 'th', '2004', 'mtg', 'process', 'pre', 'approv', 'rate', 'start', '3', '25', 'fix', 'pleas', 'use', 'secur', 'site', 'fill', 'applic', '[entity]']",True,228,181,48,12,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
70,265,1,"['let', 'child', 'grow', 'best', 'softwar', '[entity]']",True,57,46,12,5,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
71,267,1,"['thad', 'madrid', 'c', 'ble', 'filter', 'allow', 'receiv', 'ch', 'nnel', 'order', 'remot', 'control', 'payperview', '[explicit]', 'movi', 'sport', 'event', 'special', 'event', 'rnd', 'syb', '[entity]']",True,216,170,47,19,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
72,269,1,"['direct', 'prescript', 'assist', 'peopl', 'economis', 'expens', 'prescript', 'medic', 'price', 'much', '80', 'percent', 'lower', 'retail', 'pharmaci', 'equival', 'test', 'worth']",True,185,158,27,1,0,0,0,0,0.0,0,0,0,0,0,0,1,0,[0. 0. 0. ... 0. 0. 0.]
73,271,1,"['h', '536', 'pw', '51', 'fraction', 'retail', 'price', 'adob', 'dreamweav', 'corel', 'window', 'xp', 'offic', 'xp', 'norton', 'system', 'work', '258', 'gy', '65', 'must', 'see', '[entity]']",True,155,120,36,11,6,0,0,0,0.0,1,0,0,0,0,0,1,0,[0. 0. 0. ... 0. 0. 0.]
74,273,1,"['84588087127852319762', 'hi', 'varou', 'rnd', 'intro', 'rnd', 'ad', '1', 'rnd', 'buy', 'tag', 'visit', 'us', 'today', 'best', 'regard', 'millic', 'patton']",True,138,104,34,16,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
75,274,1,"['perman', 'fix', '[explicit]', 'enlarg', 'limit', 'time', 'offer', 'add', 'atleast', '3', 'inch', 'money', 'back', 'visit', 'us', 'learn', 'offer']",True,155,123,32,9,0,0,0,0,0.0,0,0,0,0,2,0,0,0,[0. 0. 0. ... 0. 0. 0.]
76,277,1,"['want', 'cheap', 'perscript', '[entity]']",True,37,32,6,3,6,0,0,0,0.0,1,0,0,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
77,278,1,"['know', 'face', 'ertagacha', 'khair']",True,44,33,11,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
78,279,1,"['search', 'sexual', 'partner', 'areaclick']",True,63,52,12,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
79,281,1,"['lock', 'low', 'rate', 'rmova', 'link', 'page']",True,44,34,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
80,283,1,"['hello', 'dear', 'member', 'visit', 'us', '[entity]']",True,46,36,11,6,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
81,286,1,"['alpha', 'male', 'plu', 'multipl', '[explicit]', 'supplement', 'men', 'prevent', 'prematur', 'ejaculaton', 'becom', 'ultim', '[explicit]', 'machin', 'multipl', '[explicit]with', 'erect', 'loss', 'easi', 'use', 'solut', '[entity]']",True,232,194,39,17,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
82,288,1,"['save', 'suffer', 'v', '1', 'c', '0', '1', 'n', '30', '325', 'gg', '3', 'pil', '109', 'oo', '60', 'p', 'ls[entity]', 'plll', '259', 'oo', '180', 'p', 'll', '429', 'oo', 'full', 'list', '[entity]']",True,159,110,50,20,12,0,0,0,0.0,2,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
83,291,1,"['e', 'c', 'r', 'e', 'last', 'longer', 'bed', 'read']",True,59,43,17,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
84,292,1,"['messag', 'subject', 'text', 'deliv', '620', 'ao[entity]', 'coa', '81', 'e', '6517', 'c', '[entity]', 'b', 'f']",True,125,95,30,11,12,0,0,0,0.0,2,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
85,293,1,"['pleas', 'read', 'attach', 'file']",True,32,26,6,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
86,294,1,"['hello', 'adam', 'password', 'download', 'movi', 'adamvu', '4', 'ol', 'georg', 'record', '[explicit]', '[explicit]', 'wife', 'video', 'tape', 'click', 'download', 'movi']",True,173,143,30,7,0,0,0,0,0.0,0,0,1,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
87,296,1,"['hello', 'derm', 'fresh', 'hardcorep', '0', 'rno', 'site', '[entity]']",True,48,40,9,3,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
88,299,1,"['would', 'believ', 'fserh', '[explicit]', 'tnoo', 'bset', 'hardrco', 'cartoon', '[explicit]', 'great', 'caus', 'litlt', 'men', 'go', 'ill', 'thorgeet', 'kan', 'gaa', 'waana', 'n', ']']",True,149,120,29,9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
89,304,1,"['erectlon', 'problem', 'maintain', 'hardest', 'erectionn', 'long', 'want', 'period', '24', '36', 'hr', 'per', 'dose', 'price', '1', '54', 'dose', 'ship', 'zero', 'cost', 'limit', 'time', 'deal', 'tri', 'tadali']",True,210,164,46,9,0,0,0,0,0.0,0,0,0,0,0,0,1,1,[0. 0. 0. ... 0. 0. 0.]
90,309,1,"['abazi', 'lowest', 'price', 'med', 'vicodin', '45', 'via', 'gra', '57', 'vaiium', '49', 'hydrocodon', '49', 'phen', 'termin', '88', 'st', 'avail', 'nowaday', '[entity]']",True,229,169,61,28,6,0,0,0,0.0,1,0,0,0,0,0,1,0,[0. 0. 0. ... 0. 0. 0.]
91,311,1,"['hi', '99', 'med', 'avail', 'onlin', 'special', 'xanax', 'vlagra', 'soma', 'amblen', 'vallum', 'free', 'clall', 'everi', 'order', 'lnfo']",True,171,136,35,5,0,0,0,0,0.0,0,1,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
92,319,1,"['cllck', 'stop', 'sign', 'stop', 'spam', 'elimin', '[explicit]', 'r', '3', 'move']",True,92,72,20,4,0,0,0,0,0.0,0,0,1,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
93,321,1,"['click', 'remov']",True,25,20,5,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
94,327,1,"['hello', 'want', 'roooock', 'harrrrd', 'john', 'son', 'check', 'first', 'origin', 'one', 'market', 'fool', 'imit', 'copi', 'cat', 'later', 'jordan']",True,172,134,38,8,0,0,0,0,0.0,0,0,0,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
